Frame  Ab-initio (eV)      PIPNN (eV)      Error (eV)
  129        0.000000        0.000055        0.000055
  130        0.000000        0.000055        0.000055
  131        0.000000        0.000055        0.000055
  132        0.000000        0.000055        0.000055
  133        0.000000        0.000055        0.000055
  134        0.000000        0.000055        0.000055
  135        0.000000        0.000055        0.000055
  136        0.000000        0.000055        0.000055
  137        0.000000        0.000055        0.000055
  138        0.000000        0.000055        0.000055
  139        0.000000        0.000055        0.000055
  140        0.000000        0.000055        0.000055
  141        0.000000        0.000055        0.000055
  142        0.000000        0.000055        0.000055
  143        0.000000        0.000055        0.000055
  144        0.000000        0.000055        0.000055
  145        0.000000        0.000055        0.000055
  146        0.000000        0.000055        0.000055
  147        0.000000        0.000055        0.000055
  148        0.000000        0.000055        0.000055
  149        0.000000        0.000055        0.000055
  150        0.000000        0.000055        0.000055
  151        0.000000        0.000055        0.000055
  152        0.000000        0.000055        0.000055
  153        0.000000        0.000055        0.000055
  154        0.000000        0.000055        0.000055
  155        0.000000        0.000055        0.000055
  156        0.000000        0.000055        0.000055
  157        0.000000        0.000055        0.000055
  158        0.000000        0.000055        0.000055
  159        0.000000        0.000055        0.000055
  160        0.000000        0.000055        0.000055
  161        0.000000        0.000055        0.000055
  162        0.000000        0.000055        0.000055
  163        0.000000        0.000055        0.000055
  164        0.000000        0.000055        0.000055
  165        0.000000        0.000055        0.000055
  166        0.000000        0.000055        0.000055
  167        0.000000        0.000055        0.000055
  168        0.000000        0.000055        0.000055
  169        0.000000        0.000055        0.000055
  170        0.000000        0.000055        0.000055
  171        0.000000        0.000055        0.000055
  172        0.000000        0.000055        0.000055
  173        0.000000        0.000055        0.000055
  174        0.000000        0.000055        0.000055
  175        0.000000        0.000055        0.000055
  176        0.000000        0.000055        0.000055
  177        0.000000        0.000055        0.000055
  178        0.000000        0.000055        0.000055
  179        0.000000        0.000055        0.000055
  180        0.000000        0.000055        0.000055
  181        0.000000        0.000055        0.000055
  182        0.000000        0.000055        0.000055
  183        0.000000        0.000055        0.000055
  184        0.000000        0.000055        0.000055
  185        0.000000        0.000055        0.000055
  186        0.000000        0.000055        0.000055
  187        0.000000        0.000055        0.000055
  188        0.000000        0.000055        0.000055
  189        0.000000        0.000055        0.000055
  190        0.000000        0.000055        0.000055
  191        0.000000        0.000055        0.000055
  192        0.000000        0.000055        0.000055
  193        0.000000        0.000055        0.000055
  194        0.000000        0.000055        0.000055
  195        0.000000        0.000055        0.000055
  196        0.000000        0.000055        0.000055
  197        0.000000        0.000055        0.000055
  198        0.000000        0.000055        0.000055
  199        0.000000        0.000055        0.000055
  200        0.000000        0.000055        0.000055
  201        0.000000        0.000055        0.000055
  202        0.000000        0.000055        0.000055
  203        0.000000        0.000055        0.000055
  204        0.000000        0.000055        0.000055
  205        0.000000        0.000055        0.000055
  206        0.000000        0.000055        0.000055
  207        0.000000        0.000055        0.000055
  208        0.000000        0.000055        0.000055
  209        0.000000        0.000055        0.000055
  210        0.000000        0.000055        0.000055
  211        0.000000        0.000055        0.000055
  212        0.000000        0.000055        0.000055
  213        0.000000        0.000055        0.000055
  214        0.000000        0.000055        0.000055
  215        0.000000        0.000055        0.000055
  216        0.000000        0.000055        0.000055
  217        0.000000        0.000055        0.000055
  218        0.000000        0.000055        0.000055
  219        0.000000        0.000055        0.000055
  220        0.000000        0.000055        0.000055
  221        0.000000        0.000055        0.000055
  222        0.000000        0.000055        0.000055
  223        0.000000        0.000055        0.000055
  224        0.000000        0.000055        0.000055
  225        0.000000        0.000055        0.000055
  226        0.000000        0.000055        0.000055
  227        0.000000        0.000055        0.000055
  228        0.000000        0.000055        0.000055
  229        0.000000        0.000055        0.000055
  230        0.000000        0.000055        0.000055
  231        0.000000        0.000055        0.000055
  232        0.000000        0.000055        0.000055
  233        0.000000        0.000055        0.000055
  234        0.000000        0.000055        0.000055
  235        0.000000        0.000055        0.000055
  236        0.000000        0.000055        0.000055
  237        0.000000        0.000055        0.000055
  238        0.000000        0.000055        0.000055
  239        0.000000        0.000055        0.000055
  240        0.000000        0.000055        0.000055
  241        0.000000        0.000055        0.000055
  242        0.000000        0.000055        0.000055
  243        0.000000        0.000055        0.000055
  244        0.000000        0.000055        0.000055
  245        0.000000        0.000055        0.000055
  246        0.000000        0.000055        0.000055
  247        0.000000        0.000055        0.000055
  248        0.000000        0.000055        0.000055
  249        0.000000        0.000055        0.000055
  250        0.000000        0.000055        0.000055
  251        0.000000        0.000055        0.000055
  252        0.000000        0.000055        0.000055
  253        0.000000        0.000055        0.000055
  254        0.000000        0.000055        0.000055
  255        0.000000        0.000055        0.000055
  256        0.000000        0.000055        0.000055
  257        0.000000        0.000055        0.000055
  258        0.000000        0.000055        0.000055
  259        0.000000        0.000055        0.000055
  260        0.000000        0.000055        0.000055
  261        0.000000        0.000055        0.000055
  262        0.000000        0.000055        0.000055
  263        0.000000        0.000055        0.000055
  264        0.000000        0.000055        0.000055
  265        0.000000        0.000055        0.000055
  266        0.000000        0.000055        0.000055
  267        0.000000        0.000055        0.000055
  268        0.000000        0.000055        0.000055
  269        0.000000        0.000055        0.000055
  270        0.000000        0.000055        0.000055
  271        0.000000        0.000055        0.000055
  272        0.000000        0.000055        0.000055
  273        0.000000        0.000055        0.000055
  274        0.000000        0.000055        0.000055
  275        0.000000        0.000055        0.000055
  276        0.000000        0.000055        0.000055
  277        0.000000        0.000055        0.000055
  278        0.000000        0.000055        0.000055
  279        0.000000        0.000055        0.000055
  280        0.000000        0.000055        0.000055
  281        0.000000        0.000055        0.000055
  282        0.000000        0.000055        0.000055
  283        0.000000        0.000055        0.000055
  284        0.000000        0.000055        0.000055
  285        0.000000        0.000055        0.000055
  286        0.000000        0.000055        0.000055
  287        0.000000        0.000055        0.000055
  288        0.000000        0.000055        0.000055
  289        0.000000        0.000055        0.000055
  290        0.000000        0.000055        0.000055
  291        0.000000        0.000055        0.000055
  292        0.000000        0.000055        0.000055
  293        0.000000        0.000055        0.000055
  294        0.000000        0.000055        0.000055
  295        0.000000        0.000055        0.000055
  296        0.000000        0.000055        0.000055
  297        0.000000        0.000055        0.000055
  298        0.000000        0.000055        0.000055
  299        0.000000        0.000055        0.000055
  300        0.000000        0.000055        0.000055
  301        0.000000        0.000055        0.000055
